iter	Logloss
0	0.6889024977
1	0.6852576138
2	0.6812605525
3	0.6766588241
4	0.6729245642
5	0.6683243984
6	0.6652826154
7	0.6604860573
8	0.6573194195
9	0.6525729312
10	0.6482820272
11	0.644884524
12	0.6415133291
13	0.6378393504
14	0.6336466872
15	0.6308987139
16	0.6269011041
17	0.6233475367
18	0.6198126863
19	0.6163032377
20	0.6135224893
21	0.6103844557
22	0.6065024019
23	0.6033909324
24	0.5999926279
25	0.5970152456
26	0.5937869507
27	0.5901846661
28	0.5868962703
29	0.584269525
30	0.5816757655
31	0.5789608737
32	0.5762182141
33	0.5731314881
34	0.5702646894
35	0.5677287087
36	0.5650763608
37	0.5621274602
38	0.5589976583
39	0.5562083009
40	0.5535069966
41	0.550225892
42	0.5470517756
43	0.5450592444
44	0.5418787179
45	0.5400085181
46	0.537449713
47	0.5343586764
48	0.5314998112
49	0.5298974887
50	0.5283941673
51	0.5258001067
52	0.522819024
53	0.521086826
54	0.5183010283
55	0.5155973074
56	0.5126535108
57	0.5102280703
58	0.5076064699
59	0.5054295538
60	0.5038651696
61	0.500964731
62	0.498638366
63	0.4962837705
64	0.494062141
65	0.491420657
66	0.4895214362
67	0.4871344982
68	0.4851990865
69	0.4831937549
70	0.4807953452
71	0.4787186475
72	0.4764580566
73	0.4739572112
74	0.4714246031
75	0.4694382858
76	0.4687858219
77	0.4665501894
78	0.464652277
79	0.4628127341
80	0.461249814
81	0.4600728454
82	0.4581999656
83	0.456319181
84	0.4544022199
85	0.4527683697
86	0.4509142817
87	0.4504607378
88	0.4490773185
89	0.4476958916
90	0.446241188
91	0.4446452768
92	0.4427245946
93	0.4409475554
94	0.4390530307
95	0.4375963089
96	0.4359682251
97	0.4340617822
98	0.432297825
99	0.4308309339
100	0.4302572668
101	0.4292366676
102	0.4279010705
103	0.4260923781
104	0.4241969378
105	0.4225205392
106	0.4210420251
107	0.4200060162
108	0.4195012039
109	0.4183572111
110	0.4177650977
111	0.4172537725
112	0.4156801279
113	0.4143602685
114	0.4134566843
115	0.4126085959
116	0.4111190604
117	0.4094957778
118	0.4079522448
119	0.4071470675
120	0.4057762439
121	0.4040638971
122	0.4030335243
123	0.4012067101
124	0.4008481877
125	0.3996902991
126	0.3982839397
127	0.3972663893
128	0.3956251921
129	0.3943913965
130	0.3933771408
131	0.3924301022
132	0.3914106344
133	0.3899005352
134	0.3891689359
135	0.3876361644
136	0.3860914555
137	0.3848235132
138	0.3835939944
139	0.3825271786
140	0.3815767612
141	0.3807144554
142	0.379844126
143	0.3781502949
144	0.3772896396
145	0.3762188823
146	0.3753253521
147	0.3740399013
148	0.3730833057
149	0.3719528767
150	0.3712491629
151	0.3706249806
152	0.3695500955
153	0.3689188881
154	0.3678594898
155	0.3668012384
156	0.3660542394
157	0.3654159694
158	0.3641151278
159	0.3628954178
160	0.3619537461
161	0.360748133
162	0.359915517
163	0.3589013735
164	0.3576813038
165	0.3562046514
166	0.3556065786
167	0.3544981067
168	0.353732915
169	0.3527538648
170	0.351721465
171	0.3508102447
172	0.3497688188
173	0.3492632926
174	0.3481718788
175	0.3472802258
176	0.3460797849
177	0.3450941889
178	0.3443826838
179	0.3435721949
180	0.34249028
181	0.34156746
182	0.340851844
183	0.3401310184
184	0.3392303189
185	0.3386011066
186	0.3380723723
187	0.3367750047
188	0.3364243471
189	0.3357196584
190	0.3348772606
191	0.3341755548
192	0.3336118653
193	0.3326426506
194	0.3315120493
195	0.3305127491
196	0.3294907325
197	0.3284399344
198	0.3276808708
199	0.3271355942
200	0.3264300238
201	0.3257927469
202	0.3249490304
203	0.3239972516
204	0.3235243978
205	0.3226613093
206	0.321919585
207	0.3213446607
208	0.3207284177
209	0.3201301752
210	0.3194701101
211	0.3186320739
212	0.3180203425
213	0.3174747556
214	0.3166767429
215	0.316045685
216	0.3157342769
217	0.3149664389
218	0.3139674007
219	0.3134342357
220	0.3129591982
221	0.3125003217
222	0.3119611332
223	0.3115148522
